disease_name,gene_name
benign colon neoplasm,RIPOR3; CRLS1; C22orf31; SMAD7; BMP4; MCM8; LAMA5; FADS2; TMEM258; TNS3; TP53; POU2AF2; CMIP; GREM1; FEN1; KCNE3; MAF; CHEK2; UBE2V1; TTC33; PREX1; SNAI1; RAP1B; PRKAA1; PCBD2; LAMC1; WRAP53; CABLES2; PGM2L1; CEBPB; LIPT2; ZNRF3; TCF7; FERMT1; MYRF; BMP2; PIK3C2B; FADS1; CATSPER3; SCG5; KREMEN1; POU5F1B; POU2AF3; GAN; PITX1; POLD3; TTC28; BMP5; LRRN4; ATP1B2; BOC; EIF3H; UTP23; SMAD3; PTGER4; PTPN1; MDM4; FADS3; ARHGAP11A-SCG5
benign digestive system neoplasm,MKRN2; TRIM46; TSEN2; GBA1; MKRN2OS; KRTCAP2; THBS3; SLC50A1; EFNA1; MTX1; ERBB4; DPM3; MUC1; SIPA1L1
benign neoplasm,RCN1; ACAT1; MYNN; C22orf31; KANK1; STN1; FNDC11; HELZ2; PIK3C2B; WRAP53; NPAT; ZNF208; TYMS; CHEK2; ACTRT3; SCGB1C1; ZNF257; DMRT3; LNX1; CLUL1; MYCT1; ATP1B2; SYNE1; ATM; WNT4; CUL5; DMRT2; EXO1; BAIAP2; POGLUT3; KREMEN1; WT1; ANXA8L1; TP53; RPTOR; FIP1L1; TERT; C11orf65; LRRC34; CHMP6; BET1L; ZNRF3; SCFD2; MDM4; RTEL1; RTEL1-TNFRSF6B; CDC42; GMEB2; GABRA4; ENOSF1; GABRB1; YES1
benign neoplasm of anus,C22orf31; KREMEN1; SMAD7; CMIP; ZNRF3; CHEK2; GAN; CABLES2; TCF7; TTC28; ATP1B2; LAMA5; WRAP53; TP53
benign neoplasm of skin,TTC28; IRF4; WRAP53; CDKN2B; CDKN2A; LRRC34; CHEK2; LRRIQ4; TNFSF12-TNFSF13; MC1R; ATP1B2; GAS8; TNFSF13; BNC2; ACTRT3; TNFSF12; DBNDD1; MYNN; MTAP; DEF8; TCF25; TP53; KREMEN1; DLGAP2; C22orf31; LRRC31; ZNRF3; TUBB3
benign prostatic hyperplasia,CLPTM1L; FGFR2; CDK5RAP1; MACROH2A1; WDR11; EIF2S3; TBX3; RNASEH2B; DNAJC1; GATA6; SIRT3; BET1L; RIC8A; H2BC13; H2AC13; DEFB130A; H2BC15; RDH14; TIFAB; H2BC14; HNF1B; H2AC14; H3C10; SNTA1; BCL11A; TSHZ3; GATA5; COMMD3; STARD4; TERT; NKX3-1; KLK2; nan; H4C11; CTAGE1; OGFR; SPAG6; TXLNG; TBX5; E2F1; RBBP7; RBM19; KLK3; BMI1; KLHL15; NKX2-6; NT5C1B; KCNRG; POU5F1B; NT5C1B-RDH14; DCANP1; COMMD3-BMI1; H2AC15; CBFA2T2; NECAB3; TCF12; TEX9; SYAP1; RFX7; DLEU7; EBLN1
beta-amyloid 1-42 measurement,MARK4; TOMM40; APOC1; CYP19A1; C8orf48; IRX2; NKPD1; FTMT; TNFAIP8L3; IARS1; TRAPPC6A; SERPINB1; LZTS1; SPTLC1; NECTIN2; APOE; SUCLG2; GLDN; CENPP; COL11A2; NACA2; GRIN2B; CBFA2T3; NR2F2; PPP1R37; DLC1
bilateral oophorectomy,CDC42; FSHB; ARL14EP; TERT; E2F6; SCGB1C1; MPPED2; GREB1; nan; BET1L; WNT4
biliary liver cirrhosis,ARHGAP31; TNFRSF1A; GSDMB; IL12RB2; TIMMDC1; CD80; PRM2; EMC8; CRB1; SERBP1; ELMO1; IKZF3; POGLUT1; PRM1; TNP2; SOCS1; ZPBP2; EXOC3L4; DENND1B; SPIB; CLEC16A; PDGFB; NFKB1; MANBA; PRDX5; GRB7; MIEN1; UGT3A1; PLCL2; CCDC88B; PPP1R14B; RMI2; TMEM39A; RAD51B; TNFAIP2; POU2AF3; HLA-DQB2; TNPO3; NAB1; ADPRH; CAPSL; IL7R; IL12A; ORMDL3; TNFSF15; DEXI; RPL3; SYNGR1; TNFSF8; POU2AF1; SCNN1A; IRF5; IRF8; RPS6KA4; PRM3; HLA-DQB1; LBHD2
biliary tract disease,ABCB1; SLC26A3; DLD; FADS2; TMBIM1; ABCG5; SURF1; RPL7A; FUT6; C12orf43; ADAR; UGT1A6; FEN1; FUT3; SPTLC3; GPBAR1; SERPINA1; STKLD1; UGT1A9; UGT1A10; IFITM10; ABCB4; R3HDML; HNF4A; CRX; CTSD; AAMP; PNKD; ABCG8; REXO4; FADS1; TTC39B; CHRNB2; ABO; UGT1A1; UGT1A7; MYRF; TMEM258; BLK; VAV2; CYP7A1; DCLK2; FOXB1; LRBA; DEFB136; UBXN2B; UGT1A8; UGT1A3; SULT2A1; TBX18; TTPAL; SLC10A2; HNF1A; MED22; ARPC2; MARCHF8; TM4SF4; UGT1A4; UGT1A5
bilirubin measurement,BAIAP2L1; CD79B; TTC19; TTC27; CPS1; ABCC2; ANK1; NSMAF; USP28; USE1; DGAT2; ZNF76; ABCC9; SPTB; SMG6; WIPI1; SNX13; TFRC; P4HA2; SCARB1; PPP2R3A; PTPN23; TRAF4; DGKD; PPP1R12B; ITCH; TP53INP2; CARMIL1; SLCO1A2; GCKR; MECOM; ATG16L1; USP40; SNX10; HBQ1; L2HGDH; PABPC4; CWF19L1; CYP26A1; OCEL1; DDTL; RNF215; KCTD17; SOS2; RIN3; MAP1LC3A; PIGU; PIEZO1; CD276; TRPS1; TGFB1; RASIP1; DNAH11; PRKAG2; BCL7B; TBL2; AKNA; ENG; AK1; TBC1D13; DNMBP; ERLIN1; CYP2C18; RPS6KB1; FTSJ3; LUC7L3; UGT2B10; KLHL5; ZPR1; APOA5; CBL; SLC22A18; KRT18; SH2B3; SLCO1B3; LY86; PCCB; PRKAR2A; KLHL18; ZNF142; BIRC6; EPAS1; RSRP1; MTARC2; YIPF4; WDR11; TBX2; IAPP; EEPD1; HJURP; CKS2; TTPAL; PLCG1; RREB1; PSD4; ATG4C; RRBP1; OVOL2; MGME1; BANF2; C20orf173; MAU2; NCAN; SAG; HAUS8; PPARG; TRIM22; H3-3B; KDM6B; LGR6; SLC2A11; SWAP70; NAV1; SLCO1B1; SPX; NREP; TBX3; GLS2; MIP; GH2; HLX; IL36B; IL1F10; BUD13; PREB; ABCG5; EXOC6; SLCO1C1; SBNO1; RAB15; ZSCAN29; CDAN1; TRIM65; CBLN2; CCDC97; RPS11; ARHGEF19; CELSR2; PRCC; METTL25B; ABCG8; ABHD1; UCN2; KLHL8; SCUBE3; ZAN; SLC25A37; RSPO2; SHC3; AUH; ASTN2; NRBF2; BTBD10; FADS1; COMMD7; UBC; CSNK1G3; PIGF; RBM46; PTH; PFKM; CYRIB; JAZF1; MAP3K7CL; BACH1; HK1; NCK1; H2BC5; SPTBN4; TLCD1; IL6R; NBEAL2; NLRP3; PM20D1; SPTA1; FABP1; C4orf36; TIPARP; ZNF589; SHISA5; FBXO8; CEP44; EBF1; KCNK5; MARCHF8; REEP3; WEE1; TMPRSS5; DOLPP1; UGT1A6; CDT1; SRR; TMC8; IRF2BP2; FEN1; SLC20A2; CEP120; BRD3; CHD3; CNTROB; GYPA; KRT8; ADORA2B; NPAS2; HOXB9; PRKCE; ASXL1; BPTF; WDR87; POP7; AFF1; OR10AD1; RAB37; MYEOV; AGR3; SLC22A1; ABO; UBQLNL; MLXIP; ZNF169; NUPR1; MYPOP; SGF29; HIC1; OR2B11; CCDC184; ASB8; SLC25A20; MAF; HLA-DQB1; ZBTB20; PAPPA; NAA38; GJD3; PSMG1; BMP8A; TMEM50A; CHEK2; DNAH2; H2AC20; PDE4B; H2BC21; APOBR; BRWD1; CD300LF; RXRA; RHD; TMPRSS6; H1-7; CYP26C1; HAPLN4; ARL4C; NDOR1; CLN3; WDR5; AMZ2; HLA-DQA1; GYPE; ADH5; ZNF607; RPS6KL1; QRICH1; TMEM116; UVRAG; TOP1; APRT; OR10Z1; CENPW; DDO; MAFB; GIGYF2; MRPL38; ATXN2; TECPR1; NCKIPSD; TM6SF2; ZSWIM7; UBXN2B; EFCAB8; SPINK8; TMA7; BRD3OS; TNFSF12; MIF; UGT1A9; UGT1A1; UGT1A8; UGT1A10; ZNF512; UGT1A7; UGT1A4; GYPB; nan; SLCO1B3-SLCO1B7; SLC35G6; AKR1C8; OTUD7B; APOC4; UGT1A3; UGT1A5; LUC7L; REV3L; MLXIPL; HFE; ANOS1; MAP4K5; GAB2; NFE2L3; LY75; ATP2B4; CDH3; FGFR2; TRMT11; FECH; NUCKS1; RORA; RPL31; BCS1L; RBMS2; UBE2T; SENP1; PGR; PSMC5; RPL6; LTBP4; BLVRB; ZC3HC1; TSPAN15; MYO9B; TBC1D10A; TTC28; PNPLA3; SAMM50; R3HDML; MAPRE1; HNRNPUL1; STEAP1B; TSPAN13; RHEB; CCDC47; SMARCD2; CCND1; ALDH2; IFNG; GOLT1B; PPARD; TFEB; BCL6; SCAP; CYTIP; FNDC4; LANCL1; EFHD1; DOCK7; RAB29; TRIM32; YLPM1; GPAM; HOXB8; LRAT; ACVR1C; PEX6; OR2B6; GNMT; MYRF; CHURC1-FNTB; RALY; BPIFB1; IL17B; VIL1; A4GALT; TST; KLHDC10; EIF2AK4; ICE2; APOE; TOMM40; PDLIM4; TRIM5; UNK; TRIM47; EIF5A; GPS2; LPIN3; ANGPTL3; CPLANE2; SLC41A1; BMAL1; SOX5; UBQLN1; USP37; ERMN; CNPY3; GMPR; SLC22A7; SDCBP; TUBGCP4; SCAF11; INHBE; ESR2; SRP14; CYP1A2; MEAK7; NCOR1; SAT2; TMC6; ISG20L2; HDGF; SF3B4; ANXA9; ARNT; NUP210L; UBAP2L; SYT2; TRPM8; IQGAP2; PTPRJ; HMGA2; ASAP1; L3MBTL4; SETD9; MIER3; HKDC1; ZNF689; PRR14; SYN2; LDLRAP1; SV2A; ATP5MC1; UBE2Z; GIP; VAV2; CHRNB2; CCDC12; YDJC; FGF11; FGF19; TDRD10; STK36; EIF5A2; ELP6; CCDC51; ATRIP; SPRY1; STARD4; BRI3; DIRAS2; SYK; NFIL3; NKX6-3; ZCCHC24; CYP2C19; ARHGAP42; LIPC; CYB5A; MAP1A; ENDOG; HDGFL2; TMEM88; FAM234A; SLC35G2; CHRNB1; IRF2BP1; ECEL1; FGB; JMJD1C; USP19; HECTD4; FAM222B; MFSD4B; HOXB2; ZHX3; MSL2; GPX2; HORMAD2; CCDC121; ARIH2; NDUFAF3; PTPN11; SERTAD2; R3HDM2; PHLDA2; FREM3; EMILIN3; MROH2A; IKZF1; PRR30; WWOX; MTARC1; SECISBP2; SEMA4D; SBK1; RHCE; FBF1; MSL1; RNFT1; ARID2; FGF16; UGT2B15; H4C3; SULT1A2; SLC22A4; ENTPD4; IL27; FBXL22; SLC22A5; DCHS2; FAM114A1; ADH4; NPIPB6; DDX42; GPN1; AKR1C4; PRMT6; SPOUT1; PLPP4; H2BC18; MACO1; CSHL1; C18orf63; CSH2; GSTM2; TREX1; S1PR3; TMEM167B; TDRD15; PRPS1L1; APOC2; ZSCAN31; TNFRSF13B; HPR; OVCA2; H2BC17; MTMR11; DEF6; CDH1; HDAC9; CA11; NGEF; IP6K2; TACR2; ATP8B1; APOB; ATRX; DNMT3B; RPH3A; ERP29; UNC13D; CRAT; KCNK16; STX1B; HSD3B7; HSCB; CYB5R3; ASCC2; IL2RB; HNF4A; ASIP; AHCY; COTL1; LYL1; SUGP1; SIPA1L3; AGR2; AHR; GALNTL5; TUBD1; PIGL; GALK1; ABCC3; SOX6; C11orf58; CDK2AP1; GYS2; PHACTR1; PPP2R5D; VEGFA; PFKFB4; COL7A1; SNX17; PLCD4; CAPZA1; LEPR; SYF2; PROX1; STAG1; PTPA; PROX2; DLST; TECTB; HOXB5; ZFP30; LAX1; CBX3; KCNK17; DMAC2L; MAX; ERGIC3; TTBK2; ALDH1A2; SUMF2; SHBG; ATP1B2; NXNL2; LDLR; APOC1; HBZ; NUTM2F; GGT7; ERAL1; GSTT2B; NARS1; FADS2; HNF1A; UGT2A3; IL6; CSH1; LIMD2; IL1RN; IL36RN; NARS2; EGF; USP3; CYP1A1; TXNL4B; NTN5; EPHA2; NR1I3; MRPL24; ASXL2; CNOT9; SLC10A6; RSPO3; SLC22A3; NIPSNAP2; GIGYF1; IDNK; MFSD14B; ZC3H12C; LTO1; CNTN5; HHEX; ANGPT1; MOV10; FBRS; ETS2; KRTCAP3; LRRC43; TOMM40L; SNF8; CHCHD6; PKN3; CCDC116; C1orf115; SLC2A2; ZNF513; METAP1; CAMP; ANKRD55; PHKG1; SPIDR; VSTM4; MOGAT2; ZNF641; SHE; SIK2; KYAT1; FGA; FAM170B; CEP19; TLR1; IL20RB; OR4B1; SMIM19; SPRYD4; MAMSTR; FUT2; FAM187B; P4HTM; CFAP276; ZNF322; FAM9A; ZNRF3; TMEM255B; NUPR2; PDIA2; KRT79; ZFP36L1; H1-6; CCDC157; ZNF573; ZKSCAN3; CFAP119; SULT1A1; MME; NOL4L; LEKR1; RTP2; ATL1; NCOA6; TMEM273; LAYN; TBC1D8; VCX3B; TMEM200C; LEPROT; APOC4-APOC2; NPIPB7; PRSS56; TNFSF12-TNFSF13; PRKDC; NPIPB8; FNTB; CHURC1; GH1; STRADA; DACH1; H2AC4; SLC22A16; ABCB4; NFIX; ALOX5; SYNE2; PRDM6; TP53BP1; SPP2; GLI2; SNX5; MAP3K1; WHRN; MMP11; MTMR3; LGMN; HERC1; MCM4; FCGRT; CD33; LSR; CHCHD2; SPIN1; GLIS3; PPIF; HLF; DPH1; BCL7A; NAA25; IL26; LDHB; PFDN1; SLC12A7; PLXNA1; ARID1A; HOXB3; CYSTM1; TBX4; TMEM156; SEPTIN7; HNRNPA2B1; SSR1; DYNLRB1; SMARCA4; MPST; EPO; RARA; GSTM1; PSRC1; SORT1; TMEM258; BCO1; CHRND; TMBIM1; RDX; DTNB; BCAS3; RPL13A; RCN3; RAB13; TPM3; C1orf43; DIS3L2; LPP; TIMD4; CRIP3; FCGR1A; RILPL2; EIF4E; PLA2R1; ANKRD40; NAT2; CCT8; SST; TIMP4; C12orf43; RNF166; UBR1; SHKBP1; NLRX1; ADAR; USP1; NTNG1; CTSS; ALPI; RNF25; RPL22L1; CCNL1; AXL; CYP7A1; PCSK9; KCNAB3; KRT78; ZNF318; FGG; OR4X2; DPAGT1; ABCG4; GNB2; WASHC2C; TRIB1; TLR6; CTU2; ZBTB4; INHBC; LPL; FAM9B; BOLA1; DALRD3; WDR6; PAK2; SETD2; TIGIT; GAS6; KMT5A; EIF3C; H2AC21; ACTRT3; UBE2L3; TMEM203; ZNF563; BLOC1S2; HLA-DRB1; TOMM7; IPO9; DENND4B; IL31; NAP1L4; EIF3CL; CHUK; NEURL4; CASTOR1; HP; HOXB7
bilirubin metabolism disease,UGT1A6; UGT1A1; UGT1A3; UGT1A9; UGT1A7; UGT1A4; IRF1; UGT1A8; UGT1A10; UGT1A5
bipolar I disorder,THSD7A; ADCY2; APOB; ATXN7L3; STK4; SUGP1; NUDT1; XPNPEP1; CCDC6; ARPC3; BTN3A3; HARS2; SPCS1; FAM53C; MRM2; IFT81; RBPJL; SCGB1D2; SLC44A2; NCAN; CAPN10; HOMER1; SEC13; ATP2B2; CILP2; GNL3; PBRM1; SMIM43; ZNF592; GATAD2A; FEN1; FAM98B; RASGRP1; KLC2; CADM2; GAL3ST3; TSSK6; PLEC; PARP10; NDUFA13; SPATC1; B3GLCT; NMB; STIMATE; TM6SF2; TDRD15; STIMATE-MUSTN1; YJEFN3; ZNHIT3; GGNBP2; MAD1L1; ITIH1; RPS6KA2; SCGB2A2; VPS29; TRIM38; LMAN2L; KDM3B; SLPI; KCNS1; MATN4; PTGIS; HROB; ALOX5AP; TMEM258; ALPK3; RNPEPL1; CACNA1B; FADS1; DCP1B; ANK3; CNNM4; H4C8; HTR6; DCLK3; SFMBT1; ANXA5; TRANK1; nan; TMUB2; CDK1; PC; SPTBN2; ATP2A2; PACS1; WDR73; GRINA; OPLAH; LRRC57; HAPLN4; RAMACL; MRPL33; MUSTN1; MYO19; GLT8D1; BTN3A1; DNM2; SNAP23; SP4; HDAC5; NEK4; WDR55; BTN1A1; MYRF; ILF3; MAU2; USPL1; CDAN1; CACNA1C; CDC25C; KCNB1; STARD9; ASB16; SHANK2; SLC4A1AP; ARL5B; HARS1; RBKS; ZSCAN2; FAM216A; ITIH4; CTTN; DNAH11; IL2; GPN3; BTN2A1; SCGB2A1; TTBK2; REEP2; FADS2; IL21; BLTP1; SEC11A; ZMAT2; ADD3; RAD9B; GHRL; BABAM2; ITIH3; TMCO4; ADAD1; CACNB2; TBC1D21; CTSW; LRFN4; MSRA; GPR35; ZNF322; NRBP2; INSYN1; QTRT1; NSUN6; FER1L5
bipolar disorder,MAD1L1; FKBP4; TFAP2B; TFAP2D; PHF7; STAB1; GLT8D1; ZNF839; BTN3A1; VRK2; PSMA4; NRIP2; SYNE2; ITIH4; ITIH1; LPAR2; EYA2; BLTP3A; ANKRD44; ME1; RORA; OSBPL3; SLC25A3; NT5C2; FGFR1; TULP3; CHRNA3; MEF2C; CTTN; DDHD2; PPP1R13B; ANAPC5; KDM2B; RPLP0; CMTM1; MRPS33; MYO15A; SNAP23; SEPTIN3; CYP2D6; TCF20; ST13; EP300; ZFYVE21; PSMA6; CD40; ZMYND8; STK4; SEL1L2; SLC32A1; OLFM4; MAPK3; HOMER2; DENND3; SUGP1; DNAH11; PALS2; GSDME; NUDT1; LHX2; SUFU; XPNPEP1; CCDC6; UBTF; CSF3; DPH1; NFKB1; ITFG2; FOXM1; GPN3; OGFOD2; BTN3A3; ASCC3; TRIM38; IFT57; SPCS1; NEK4; LMAN2L; SF3B1; MOB4; HSPE1; PLCL1; OSCP1; CNN3; SERPINC1; CHRNB4; MFSD1; DENND1A; CSF3R; MXI1; SMNDC1; FAM53C; KDM3B; APAF1; EPHX2; MRM2; MATN4; NCOA5; CSE1L; PTGIS; DDX27; BTN1A1; ZNF391; MYRF; SCGB2A1; HROB; NKX2-4; NKX2-2; FLRT3; KLC1; XRCC3; BCL11B; KLF16; MAU2; NCAN; ZSWIM6; MTRFR; REEP2; NMUR2; CNTN6; MEIS2; CCNH; SOX5; TMEM258; PRRG4; RC3H1; CCM2; ALPK3; VPS45; ZSCAN9; PGBD1; IFI44L; IFI44; PRKG2; BLTP1; SLC39A8; MMAB; DHH; ESR2; FURIN; SEC11A; TXNL4B; ASXL3; ZCCHC2; CNTN4; CSGALNACT1; NSD3; FBXO10; ASTN2; ADD3; TCF7L2; CNNM2; ADM; TENM4; TRPT1; TAOK2; TMEM219; ABCB9; CACNA2D4; DCP1B; CACNA1C; UBE3B; ANK3; ATP6V1G3; CCDC122; RABGAP1L; HOMER1; BOLL; NR4A2; JAZF1; NRGN; ADAMTSL3; NAA11; ANKRD9; ZDHHC5; MED19; BAG4; DGKI; BRAF; BABAM2; CNNM4; CDC25C; KCNB1; CILP2; ITIH3; RFTN2; MAIP1; CIP2A; THOC7; DCLK3; GRIK3; GNL3; PBRM1; ADAD1; ITGA2; MOCS2; TENT2; GRIK2; HCN1; KCNV1; LETM2; CACNB2; IKBIP; CKB; TRMT61A; BORCS7; HDGFL3; BEAN1; GATAD2A; RPL13; RHEBL1; GSDMA; TRANK1; OR2B2; NT5DC2; nan; FEN1; TMUB2; ZBTB5; METTL15; BNC1; C15orf40; CHRNA5; ANKK1; CDK1; RNF34; TSNARE1; FAM98B; RHNO1; DRC3; ALG14; DNAJB7; ACOT12; RASGRP1; SPTBN2; ZDHHC24; ATP2A2; MYO1H; MSL2; YIF1A; KCTD13; ERCC4; TOM1L2; TOMM5; ZSCAN2; WDR73; PHETA2; C2orf69; TSSK6; PARP10; CPNE7; HYI; TCAIM; CDH5; HARBI1; CHRM4; LRRC57; ZNF322; LSM10; PRKAG1; SHMT2; DCAF4L1; NXPH4; HAPSTR1; WBP2NL; SMDT1; GRIN2A; KMT5A; EIF3C; H1-5; APOBR; IMMP2L; ZBTB37; NDUFA4L2; NDUFA13; WWOX; BTN3A2; HAPLN4; NCR3LG1; NKAIN2; ZKSCAN3; PAX5; SPATS2L; STK40; XPNPEP3; SLC35F1; SULT1A1; ANAPC7; TCF4; TECPR2; H2AC13; ZSCAN16; PPTC7; ZSCAN26; ZNF165; NMB; NPIPB6; C2CD4A; ZNF536; TRIM39; HLA-G; MOG; OR2W1; FAM216A; SELENOH; TM6SF2; AS3MT; PLXNA4; ELFN1; ZKSCAN8P1; TRIM26; ZSCAN31; SHISA9; RBM14; NSUN6; MRPL33; ACTN3; FER1L5; YJEFN3; CKLF-CMTM1; DPP3; COA8; HPR; BORCS7-ASMT; HSPE1-MOB4; TLCD4-RWDD3; H4C12; H4C13; DPM1; MED24; PGM3; VSIG2; ALAS1; PLEKHO1; KCNG1; RAB27B; SDCCAG8; DGKG; SEZ6; SNAP91; NGEF; NUCB2; RPS6KA2; CTTNBP2; TYR; ADCY2; CARMIL1; RIMS1; PHLPP1; SF3B2; XRN2; GCN1; GMIP; ZNF184; SLC25A17; RANGAP1; MTHFD1; PRORP; CPPED1; INTS10; LYL1; ELAVL2; CRYBA1; PSMD3; DRG2; HDAC5; HLF; IL2; NAA40; SOX6; RPS13; KCTD10; MVK; CEP85L; RIPOR2; PRSS16; NPHP3; DNAH1; FANCL; COQ10B; MRPS15; PTBP2; DARS2; PMFBP1; TRIM32; SNX19; SLC10A7; ENOX1; EGR2; SLPI; KCNS1; SLC12A5; ARFGEF2; ZNFX1; STAU1; BTN2A2; F10; THRA; MCHR1; ATP8B3; OSBPL2; SYNE1; RPA1; MACROD1; FADS2; PSAT1; SCN2A; GID4; PTPRF; NUF2; RGS5; ANP32E; HSPD1; SPAG16; TMEM108; SSBP2; GFRA3; PXDNL; ZCCHC7; CACNA1B; EIF3M; DRD2; FADS1; DOC2A; RAD9B; AKAP6; TLCD4; SCN3A; MMP16; CABP1; SPPL3; NCK1; STARD9; MED8; TNFRSF13C; ASB16; NFIA; ADGRL4; TYW5; NOSTRIN; CCDC141; PPM1M; WDR82; TMEM161B; ELAPOR2; LRFN5; BAG5; SCN3B; WBP1L; CCDC68; ATF7IP2; ZNF592; KMT2D; OTUB1; GLYCTK; PCMTD1; SHOX2; FSTL5; ZNF608; INO80E; ZNF804A; RBKS; LRRC8D; CERS6; CLP1; TNKS; PPP1R14B; FKBP2; CTSF; LINGO2; PACS1; GAL3ST3; LPL; MSRA; UNC119B; NUPR1; COX8A; HIC1; KCNG2; CA8; CSRNP3; PIPOX; DDN; ADGRB1; ADO; FES; SNORC; RGS6; PTP4A3; PRSS55; NDUFA6; KIAA0825; KCNQ5; RTN4RL1; SPDYE17; ZKSCAN4; LIN28B; MAPK12; BEND4; MYO18A; CD47; BRINP2; GRM3; NAGA; HLA-DMA; MICA; TRIM15; HLA-F; ZFP57; INSYN2B; GPR20; SPDYE18; CDPF1; FTCDNL1; NPIPB7; H2BC15; ACAD11; ETV5; PRSS51; HP; TMEM178B; MUSTN1; H2AC14; H4C1; TEX52; THSD7A; KMT2E; PAX6; RWDD2A; SLC30A9; BAK1; JADE2; RCN1; MPHOSPH9; BTBD1; MARK2; PPP2R3A; WSCD2; RBFOX1; PALB2; SCAMP1; ATXN7L3; KIZ; PITPNM2; PPP2R3C; CACNA1I; RBX1; L3MBTL2; CHADL; NOL4; VWA8; DGKH; RPGRIP1L; SH2D4A; SP4; PTN; TMEM106B; DBX1; HTATIP2; DNAJC4; MDK; C11orf58; MLEC; ARPC3; VPS29; CDK2AP1; BTN2A1; PCCB; HHLA2; GPD2; CREB1; YLPM1; PROX2; FCF1; AREL1; DLST; CLU; CHRNA2; IFT81; ACADS; LRP1; MOCS3; RBPJL; MTRR; FASTKD3; SPDEF; SCGB1D2; PCID2; PROZ; TUBGCP6; VPS13C; ADRM1; CHRM3; AMPD3; SBF2; DOCK2; SRPK2; ANKRD36; MYO1G; CDK5RAP2; POLR1E; GRHPR; MAP2K5; ACTR1A; ARL3; IL21; SBNO1; FTO; DHX38; ERBB2; BARHL2; METTL21A; LHFPL2; PRSS35; CREB5; PURB; PLPP5; CYP17A1; NUDT22; FAM177A1; FHIP2A; CCDC175; ASTN1; SETBP1; CACNA2D1; SORCS3; SFXN2; PSMG3; POM121L2; ZSCAN12; PGAP3; SLC45A1; ZNF326; C3orf49; ATXN7; PSMD6; NDST3; ADCY1; ARL5B; JAM3; TK2; RCOR2; SCARA3; ATXN2L; WFDC12; RAMAC; TRABD; TRIM8; NEGR1; LRRN3; VEGFB; LRFN4; TOPAZ1; VWC2L; BBS1; TRAM1L1; CMKLR1; RIN1; RSRC1; ASPHD1; KLC2; WFDC5; LSM1; SGF29; PLEC; EPM2AIP1; MAF; GOLGA6L4; PDE4B; ANKS1B; H2BC13; MRTFB; PCLO; SMYD4; PPARA; RPS19BP1; MITF; DCC; WNT7B; HYKK; RALGAPA2; DPYD; ATP2A1; ILRUN; ADA; H4C11; ZNF311; SZT2; BRD2; TRIM10; TRIM27; TCTN1; TMX2; TRIM77; HLA-B; NFAM1; MDFIC2; UPK3B; POU5F2; REELD1; OVCA2; NPHP3-ACAD11; H3C10; NFIX; PIK3C2A; SLC45A4; GRAMD1B; KDM4A; ELOVL1; SELENOO; REXO1; IGSF9B; NOX4; PXN; HDAC10; SRP54; PPP1R16B; DHODH; PBX4; COBL; SCGB2A2; AMBRA1; PDE10A; MPL; STAG1; KLF7; SNRPC; FLRT1; ABHD17A; TRAF3; STARD3; TM6SF1; RASGEF1B; CUL4A; RTN1; RPTOR; PNMT; RERE; COP1; CEP170; FAHD2B; RBMS3; MYH15; RASA1; DGKZ; ESAM; FERMT3; CNTN5; NPAS3; GRIA1; PPP2R2B; SHANK2; ANXA5; SMIM43; LSM6; MELK; TMPRSS5; NAV2; DCTN5; PLK1; FAM178B; SLC35G2; GRM5; ATPAF2; MACROD2; PC; TCAP; IL20RB; CNIH2; ATG13; MLF1; SH2B1; TUFM; EHMT1; ARL6IP4; CMTM4; PRKD1; EFNA5; CCDC73; SESTD1; CLN3; SKOR1; NKAPL; GK2; PLXNB2; SULT1A2; IL27; RPS6KL1; PLN; CTNND1; GNL1; GABBR1; STIMATE; CKLF; RAMACL; TWF2; STIMATE-MUSTN1; NPIPB8
