disease_name,gene_name
ST2 protein measurement,IL1R2; IL18R1; MGAT5; MAP4K4; ST3GAL4; IL1RL1; SLC9A4; RFX8; DCPS; IL1R1; SLC39A8; ASGR1
Sjogren syndrome,STAT4; HLA-DRA; IRF5; IL12A; TNIP1; GTF2I; RCN1; TNPO3; TNFAIP3; BLK
Snoring,PITX1; ANKRD10; STK33; CPNE8; AOPEP; POC5; MSRB3; BDNF; SHISA3; OXCT2; ADGRV1; XKR9; ANAPC4; SIM1; BCL11B; NR4A2; ROBO2; SOX5; FTO; LMO4; KCNJ16; PEX2; DLEU7
TNF-related apoptosis-inducing ligand measurement,FNDC3B; RNF125; KNG1; TNFSF10; SERPINA1; CFH; APOH; B4GALT6; PLAUR; ECT2; DSG1; MEP1B
TPE interval measurement,PYGB; NDRG4; ZMIZ1; SGIP1; DPT; CREB5; AZIN1; SLC8A1; NKX2-5; KCNH2; MEF2D; SERTAD2; LITAF; KCNJ2; HEY2; IGF1R; FAAP20; NCOA7; STRN; CAMK2D; ETS2
Takayasu arteritis,IL12B; PTK2B; VPS8; KLHL33; MICA; RNF39; DUSP22; LILRB2; IL6; CFL2; HLA-DRB1; HLA-DOB
Testicular Germ Cell Tumor,MAD1L1; BAK1; ZNF638; DAZL; CNOT2; TFDP2; DMRT1; CENPE; PKNOX2; RFWD3; ATF7IP; ZFP42; HNF1B; KITLG; LHPP; SSR3; CDKL2; UCK2; ZNF208; TERT; BMERB1; PIK3CD; GPR160; ZFPM1; SPRY4; ZNF675; ZFP64; GAB2; PDE8A; CLUL1; PRDM14; HEATR3; MAP2K1; SUGCT; ZNF726; TFCP2L1; SMARCAD1; PRTG; RESF1; ZNF728
Thyroid preparation use measurement,CD44; TG; PRKCQ; ATP1B3; TMEM131; CCN4; PLEKHA1; CLNK; PANX1; SASH1; PDE8B; STK25; CAMSAP2; AGO2; TICAM1; PPARG; ETS1; STAT4; LPP; CD226; ELMO1; UBASH3A; CTLA4; TLR3; TNFRSF11B; CX3CR1; IL7R; B3GNT2; AFF1; RASGRP1; CHRNA9; PTPN2; INPP5B; POU5F1B; RNASET2; TRIB2; IL12RB2; LRRFIP2; RAB2A; PLGRKT; CD69; PDE10A; NR3C1; IFIH1; TPO; ID2; CD2; NKX2-3; FOXA2; NFATC1; C1QTNF6; BHLHE40; VAV3; PTPN22; IRF4; ILDR1; FGD2; CAMK4; TNFRSF14; RBPJ; HORMAD2; CCR8; MACIR; RTKN2; RAD51B; IFITM2; POU3F1; DEFB136; TCF7; IFNG; BACH2; CBLB; NEK6; BAZ2B; IL2RA; MYC; PIK3R5; SLC25A37; NR3C2; TMEM171; SIK3; RAVER2; CCDC88B; CPT1C; FOXE1; EPS8L3; CD247; SLC66A1; FAP; SYNGR1; SLC1A2; SH2B3; TNFSF11; ARID5B; PDE1C; FCRL3; TRAT1; PFKFB3; PDE7B; C12orf42; SPATA13; IFNE; ITGB3
Thyrotoxicosis,PRDM11; TRPM3; GGTLC2; IGFBP5; CTLA4; TSHR; SYT13; TGFB2; CD40; PDE8B; LPP; FAM227B; MICOS10; MAF; PTPN22; NRG1; TG; FGF7
Tourette syndrome,VRK2; SNAP91; MEF2C; KIZ; FOXP1; SOX5; RTN1; RPTOR; CNNM2; CACNA1C; AKAP6; SORCS3; MOCS2; RSRC1; GRIN2A; TCF4; COL27A1; SLC30A9; NOX4; PPP1R13B; CACNA1I; LMAN2L; STAG1; CCDC92; ZSWIM6; SLC39A8; ESR2; GID4; CNTN4; PXDNL; DRD2; NAA11; PPP2R2B; SPPL3; KCNB1; NEGR1; RGS6; DPYD; GRM3; SHISA9; MAD1L1; TFAP2B; NGEF; MRPS33; PPP1R16B; GSDME; SNX19; ENOX1; BCL11B; NR4A2; CNNM4; DCLK3; TMEM161B; TSNARE1; IMMP2L; PCLO; PAX6; IGSF9B; OLFM4; PLCL1; PHF3; SRPK2; TENM4; NPAS3; NUBPL; HCN1; KCNV1; LRFN5; CCDC68; ZNF608; ZNF804A; RASGRP1; PTP4A3; PDE4B; DCC; CD47; ZNF536; TLCD4-RWDD3
Uterine leiomyoma,TEX11; SYNE1; MYH11; TERT; CHEK2; TNRC6B; STN1; WNT4; MACROD2; ACTRT3; WT1; ITPR1; CD109; FRMD7; SULT1B1; KANK1; POMC; HEATR3; GREB1
Varicose veins,HDAC7; SLC12A2; LMCD1; NFATC2; PIEZO1; UNC5B; ERGIC1; SLC2A1; PROX1; ELL2; RDH10; KCNJ2; POF1B; SOX9; INSIG2; CASZ1; SBF2; FBLN7; ARID5B; TMEM132D; SORBS2; WNT9B; EBF1; ABO; MTX3; CA8; DAOA; KCNH8; PRKAR1B; LBH; PPP3R1; TGFBR3; EDN1; CPNE3; ITGA6; DOCK8; EFEMP1; KLF2; ZBED3; POSTN; RSPO3; CNGB3; nan; SRL; MAP2K3; SRPX; ARHGEF17; LY86; SGK1; RREB1; DUSP10; RPL22L1; ARHGAP12; MIDN; TCEA2; KLHL25; XKR5; PLEKHA5; MAP2K4; MEF2A; THBS4; ERRFI1; DTNA; NEK7; TMEM87B; ATP13A2; KIF5B; GATA2; RAD51B; UBE2H
Vasodilators used in cardiac diseases use measurement,ATP2B1; ALDH2; PHACTR1; SLC22A2; ABHD2; CDKN2B; EDNRA; LPA; FDX1; CDKN2A; TTC32; CHRNB4; TCF21; CNNM2; GUCY1A1; YBX3; FLT1; VAMP8; RDX; SLC22A3; MAP9
Vertigo,WNT5B; OTOGL; ZNF91; TECTA; ARMC9; SEMA3E; LYPD6; RELN; TMEM128; BTRC; OTOG
Vitiligo,TG; TYR; GZMB; SLC1A2; FOXP1; IFIH1; CD80; IL2RA; LPP; BCL2L11; UBASH3A; SERPINB9; HLA-A; FAP; PTPRC; FASLG; TNFSF11; IRF3; IRF4; BANK1; CHRNA9; PTPN1; RPGRIP1L; CPVL; BACH2; C1QTNF6; PTPN22; CTLA4; CASP7; BTNL2; RNASET2; CLNK; SH2B3; TICAM1; HERC2; CBFA2T3; PPP3CA; DEF8; TNFRSF11A; ARID5B; FLI1; NRROS; PPP4R3B
YKL40 measurement,SIPA1L2; CENPF; CHI3L1; CHIT1; ZNRF2; ERCC6L2; TRIB1; UNKL; RORA; GCKR; VDR; PITPNC1; ZFYVE28
Young adult-onset Parkinsonism,ADAMTS9; SLC19A1; ZNF98; FRRS1L; PBX1; ZNF277; NPIPB11; FTMT; COL18A1; ZFAT; PPFIBP1
acne,CCDC138; PARD6G; GLI2; PNPLA3; CSTA; IL1B; WNT10A; LYPLAL1; MOCS2; ANKRD55; BORCS5; NAV2; MYEOV; SUGCT; RASSF10; LAMC2; FGF10; TRPM7; SHB; TBX18; BCL11A; TSPAN8; ADAMTS18; INAVA; DLC1; SEMA4B; nan; SOAT1; UPB1; ERRFI1; FST; EDAR; EDNRA; FCHO2; SYN2; CRELD2
acute lymphoblastic leukemia,SP4; DDC; IKZF1; TP63; CEBPE; CDKN2B; ARID5B; PIP4K2A; PYGL; GATA3
acylcarnitine measurement,ACOT7; SPPL3; SLC16A9; SLC22A5; SLC22A16; ACADL; ACADM; SLCO1B1; CPT2; CABP1; PPID; ACADS
adiponectin measurement,SNX13; PEPD; CDH13; CMIP; RUNX1; PDE3A; ADIPOQ; ARL15; ATP6V0A2; DNAH10; KNG1; FER; TRIB1; VEGFA; GIMAP4
adolescent idiopathic scoliosis,THSD7A; FYN; BMAL2; MSR1; ANO2; CELF2; ADAMTS6; MSMO1; PTPRU; NUAK1; PLXNA2; CAPZB; GEMIN5; GPATCH2L; GRK3; NFATC2; MYOM1; DGKH; JPH1; IQCE; SNX8; CXCL12; PPARGC1A; SOX6; VDR; FAM184A; LNPEP; DPYSL3; SIPA1L2; AKAP7; KLF12; SEC16B; KIAA1217; SLC36A1; PREX1; TMTC4; PAX1; PLEKHG3; ALDH1A2; PRKAB2; RAMP1; CHL1; ABI1; LMX1B; TTC29; THBS1; CCNG2; GAREM1; SPAG16; AGTR1; TENM2; CREB5; EGFR; PSKH2; ATP6V0D2; LRMDA; TENM4; CD226; FREM2; MAGI1; ACSL1; GUCY1A2; PAN3; UTRN; PTPRD; C4orf19; PLCL2; CA10; MIER3; ADAMTSL3; SORCS3; TBC1D31; CCDC74A; NKX6-1; PRKCD; HHIP; MED30; FAT3; DACT1; STK32C; ARHGAP42; NELL1; CCDC68; SERPINF2; GNG4; MLKL; TSPAN5; IRS1; ALCAM; ZPLD1; ALG14; BNC2; DMRTA1; MSC; CMTR2; ERCC6L2; EPHB3; GRID1; CSMD1; OPCML; ST6GALNAC3; SLIT3; ZBTB7C; SORCS2; PRKN; GSAP; CMC1; FYB2; RELN; MYBPC1; TOX; NALF1; C9orf57; RTL1; NBPF12; LIG3; MGST1; PRKCH; LRRC7; CNTLN; LMO3; TMCC3; ANKRD44; NEO1; SPP2; TMEM131; NEBL; RIMS1; RFX3; SCAMP1; USP40; TLL2; RAB18; CRX; RNF32; GHRHR; SFRP4; LHX2; ANXA10; CAND1; PHC1; ADTRP; ADGRG6; PACRG; HES1; IFIH1; NRP2; TMEM131L; DPPA4; CCDC18; BBS9; SPINK4; DAW1; F13A1; BMP4; DYNC2I1; BEST3; NPHP4; KHDRBS3; RFC3; FBH1; OSTF1; PAX3; DOCK10; STAB2; LRCH1; DGKB; GAD2; CTSV; PRCP; PI15; SEMA6D; LBX1; OLA1; TMX1; BOC; ALDH1L1; SSBP2; VLDLR; CDH8; LATS2; PIP4K2A; RIT2; ADGRA3; CMTM7; JAZF1; PTPRN2; SLC34A2; KCNT2; LRRC52; PRIMPOL; SPRED1; C16orf78; NETO1; WDR72; NAV2; CTNNB1; STX18; NSG1; PCDH7; EMX2; TMEM51; BCL2; TEX44; CD163L1; GALNT11; KCNB2; CALN1; CTNNA3; MACC1; TRIML1; PCDH9; BPIFC; POU3F2; PDE4B; KDM4D; OR10T2; nan; LRRC8B; CYRIA; ZNF536; CENPW; ZNF254; TAFA5; MAGEL2; MEI4; MAD1L1; EIF2AK2; CDK17; EYA2; ABCC9; TRIB2; SEMA3C; APBB1IP; RBFOX1; ERMP1; DOK5; WDR59; ZC2HC1A; ITGB8; APBA1; SORCS1; ASIC2; HSPA8; PLCH1; ITGB6; CD46; GORAB; SNX19; LYZL1; UBL3; PTGFR; ANKRD60; METTL25; MYO1B; WDFY4; ATXN10; PDZD2; TBX3; PLXNC1; TNS3; GABBR2; MNS1; RBM26; CDH13; KCNH1; MEIS1; NR1I2; MARCHF1; PIK3R1; GLRA1; FAM50B; PXDNL; ASTN2; KIRREL3; DOCK1; ANK3; DIP2C; AKAP6; PTPRK; ACOXL; SPAG17; SLC24A2; TRIM42; DYRK1A; PARS2; PLPP3; ZNF326; SLC9C2; DISC1; STPG2; TM4SF18; STXBP5; CARD19; LIPC; SOX14; ZNF608; FAXDC2; IRX1; ATF7IP; DAB1; CTDSP2; GRIN2A; MARCHF11; TAFA1; TBX1; SLITRK6; NELL2; SGCZ; THSD4; FHIT; SPATS2L; ESRRG; SRGAP1; AKAIN1; PRR20E; NSUN6; COX10; CAMK1G; MYO16; KITLG; MYLK; ADGRF5; MAPK6; ACTR6; FBLN1; ATP8B1; GALNT16; NOD1; ATG2A; RERGL; PHACTR2; GBE1; GRB14; PARD3B; TNP1; FGF23; WDR11; HYCC1; ARL4A; CDH26; PMEPA1; PZP; DNAAF11; CDO1; STARD13; KLRD1; FHOD3; PSAT1; SEMA4F; KIAA0513; DNAJC1; TLR4; RASGEF1B; B4GALNT3; FTO; CDH11; RHBDL3; XCL1; FCRL5; PTH2R; GRIP2; PDGFC; CDH18; PLK2; DAAM2; GSDMC; ADD3; EDNRA; CD96; CACNA2D1; PPP2R5E; AK5; ABCA9; UNC5D; SYN2; ZNF618; RGL4; ARHGEF3; C5orf63; PTTG1; CSMD3; SYK; WRN; AKR1E2; DEPDC4; SCARA3; VAMP5; PARM1; CTNND2; CAVIN4; GLRX; KCTD12; SHISA2; ASB18; CADM1; ZNF438; NR2F2; NRG3; DLEU7; ERC2; JAKMIP3; BEND4; AJAP1; KCNMB2; LRRTM3; RYR3; ZNF736; TSNAX-DISC1; NPBWR1
adult onset asthma,HDAC7; RORA; IQCH; IL1RL1; IL33; LRRC32; HHEX; BCL2L11; RUNX1; GLB1; TBL1XR1; PTPRC; COL16A1; BACH2; IL18R1; ADAMTSL3; STAT6; SMAD3; D2HGDH; ZBTB10; MAP4K4; IL4R; PLAGL1; NDFIP1; COG6; POU2F1; TSLP; IL7R; CD247; HLA-B; TFRC; GATA3; APOE; WDR36; HLA-DQA1
age at assessment,MAP3K1; VEGFA; LY86; CPEB4; HOXC12; DDC; FTO; CMIP; ABCA1; MC4R; RFLNA; PLXND1; HOXA11; TFAP2B; CALCRL; CCDC92; SEC16B; CLOCK; SMAD6; MEIS1; TNFAIP8; RSPO3; TCF7L2; TMEM18; ADAMTS9; NEGR1; ZC3H11B; EYA2; PEMT; HIVEP2; UQCC1; SSPN; STK33; PIGC; ADCY3; DCST2
age at diagnosis,REXO1; COL4A2; HNRNPA1L3; FOXC1; MEF2C; PLPPR1; FGD5; PURG; SLC22A1; PCDH18; HLA-DRA; HLA-A; RXFP2; RFLNA; BAHCC1; ETV1; DNAJC1; MRAS; PDE3A; HLA-DQA1; MYH6; GTF2I
age at first birth measurement,MAD1L1; KMT2E; RARB; ESR1; USP34; SCN2A; BARHL2; CDH8; SORCS3; HCN1; CNGB3; BNC2; TNKS; ZDHHC21; SOX11; SHTN1; MAML3; ADARB1; HIVEP2; LARS2; JADE2; TRIB2; MAP3K20; CELF4; CNTN3; FOXP2; MKRN1; IGF1R; UTRN; METTL15; TMEM182; NRXN1; PCDH9; VWC2; MSANTD1; TCF4; NOL4L; STMND1; SEMA3F; BCL11A; NUP54; AFF3; SDK1; ARL14EP; PDE4B; VRK2; CDH6; ADGRB2; ZSWIM6; TRAF3; LARGE1; NOVA1; CAMKV; ID4; CALN1
age at first facial hair,ALX4; NFATC4; GRB10; JHY; FOXO3; KCNJ2; MKLN1; EIF4E2; DET1; FTO; TMC1; IRS1; PREP; TRPS1; PRDM13; SLF2; FGF5; IGF1R; ETAA1; IGFBP3; MBL2; RMI1; ANXA2; PDGFA; CCER1; PRDM11; TBX15; FAM118A; FARSB; PAX3; CEP112; SPPL3; TACR3; ZNF483; C1orf127; MRTFB; LIN28B; PREX2; KCNK2; KATNAL1; AKT3; AKAP1; HOXC13; MC3R; OLA1; SLC24A4; SLC39A12; SMARCAD1; LCLAT1; MSRB3; SOX2; ADARB2
age at first sexual intercourse measurement,TFAP2B; ISL1; CUL3; ARHGAP15; HACE1; TNRC6A; ESR1; TRPS1; MET; NECTIN1; CNTN3; PLCL1; SATB2; BCL11A; KDM4B; UNC79; SEMA6D; DIAPH3; LMO4; BARHL2; CAMKMT; SDK1; MFHAS1; SNTG1; LRRC27; NCAM1; ADGRL3; VTI1A; NR4A2; FEZF2; PDE1C; SORCS3; HCN1; NEUROD6; IRF2BP2; SLC20A2; ZNF507; ZNF608; SPDYE5; TMEM182; EMB; TSNARE1; KCNK3; JMJD1C; CADM2; TTLL11; BDNF; KCNG2; DHFR2; CPNE7; C3orf38; NRXN1; TMEM132E; EXT1; FIGN; PRKD1; EFNA5; FLRT2; C17orf58; TEAD1; DCC; SPATS2L; SKOR2; SEMA3F; MAD1L1; DBNDD1; TFAP2D; VRK2; IKZF2; CELF2; MAP3K20; OLFM4; CPQ; SP4; FANCL; FKBP9; ZBTB46; TRAF3; EXOC4; SRPK2; BLK; LRPPRC; AFF3; IGSF11; MCHR2; FZD7; CLSTN2; NFASC; UNCX; PDZRN4; ZFPM2; CNGB3; ZNF804A; DENND5B; KBTBD2; NEGR1; MSRA; LRRTM4; SOX11; TMTC2; BHLHE22; AATK; KCNH8; ENO4; TCF4; MAML3; ZNF652; CAPZA2; RANBP17; METTL6; SLC35G4; ARID4A; SNX29; PLEKHA5; RARB; RUNX1T1; OPRK1; ASCC3; CDH6; HHLA2; USP34; BIRC6; RWDD3; FEZF1; TGFBRAP1; SCN2A; GIPC2; DEF8; RAB19; ST18; NFIB; LRRC4C; HSD17B12; NPAS3; TMEM18; RIT2; NUP205; STK32C; GPR37L1; MSANTD4; ARPP21; ZIC4; TEX36; PCDH9; PDE4B; SHTN1; NKAIN2; CPNE4; SERPINA1; PHF2; ZNF521; KCNU1; C8orf88; ANAPC4; FGFR1; PUS7; CBX5; SALL1; AP3B2; ELAVL2; CDH9; SIPA1L2; NECAB1; ST3GAL3; FOXP2; IRF4; DUSP6; SMYD2; CACNA2D3; MED27; ERBB4; TSHZ2; FHIT; TMEM26
age at menarche,GAB2; CCDC85A; NOL4; CRTC1; nan; KDM4C; ATE1; CRTAM; JHY; C11orf58; PRDM13; SIM1; ASCC3; PTK7; HPCAL1; PAPPA2; LEPR; NR5A2; FOXO3; KLF12; SATB2; SEC16B; GPR83; MC3R; LSP1; FST; NREP; ANXA1; PHF21A; GPR45; NKX2-1; TRA2B; TRPC6; MAP2K5; CENPO; DET1; FTO; CBX4; RXRG; REN; PTH2R; RBMS3; TMEM108; TMEM18; BEND6; ARL14EP; NR4A2; PTPRD; PTPRN2; SST; HPGDS; STARD4; STXBP5; ZNF704; TRIM66; TET2; PDILT; TACR3; DLGAP1; PDE7B; JMJD1C; MACROD2; ZNF483; ASPHD1; CTBP2; WSCD1; MKRN3; SATB1; PLCB1; NDN; KCNB2; CADM1; CSMD1; KCTD8; SLIT3; CCDC190; MRTFB; LIN28B; BSX; MSANTD1; ALKAL2; SULF2; WWP2; CENPW; ZDBF2; HLA-A; VGLL3; SKOR2; PCDH20; NPBWR1; MAD1L1; JADE2; ANAPC4; SNAP91; NUCKS1; REXO1; TRPM3; DZANK1; ZC3HC1; UQCC1; USP14; FNDC3A; CHCHD3; TMEM245; DNM1; FAM120B; SENP6; ADAM23; DNAJC6; CTNNAL1; SLF2; CCDC170; GHSR; FLT3; WWP1; ARHGAP40; PCSK2; ST3GAL3; GADD45G; GGT7; TBC1D5; COG6; BTG1; BMAL1; SOX5; NDST4; RPTOR; CDKAL1; KLHL3; ARMT1; GNRH1; ZNF462; THRB; SPC25; CAMK4; CAST; TEX29; PEX2; FAM83B; DNAJC21; KCNK9; KBTBD2; ZNF131; WDR25; BDNF; PUS1; ERBB4; RMI1; C14orf39; PCGF5; BEGAIN; RBM12B; ADARB2; DPYD; RORB; RTL1; GTF2I; TFAP2B; SYT13; INPP5A; WSCD2; RARB; TNRC6A; ZFHX4; BPNT2; OLFM2; ATRNL1; HLF; EIF4G1; MSH6; AKT3; OLFM3; KDM4B; EEFSEC; UNC79; NR5A1; UNC13C; PML; THSD7B; TENM2; NFIB; PAN3; SYCP2L; GNAQ; SMARCAD1; HNF4G; STXBP4; TBC1D16; NEGR1; INSM1; CHD2; FIGN; DLK1; CIBAR1; SKOR1; FHIT; GREB1; PRPF40A; NPTXR; KLF14; FUT8; TOX3; SEC23IP; GPD2; ZNF331; ZRANB2; EGR4; SCN2A; SEMA6D; ADCY3; SIX3; MBNL2; IGF1R; AFF3; ECE2; MYO10; NR6A1; HSD17B12; SREK1IP1; CYLC2; RMND1; NOSTRIN; METTL15; OR2K2; PCSK1; ZBTB20; PRKD1; BRWD1; POU3F1; TCF4; PRIM1; ATP5PO
age at menopause,TFPI; ZRANB1; RAD18; FRYL; XRCC5; RIF1; PGR; TDRD3; NRCAM; ZFHX4; ABHD12; ADNP; GSPT1; NAMPT; ELAVL2; CCNJ; EBF3; MSH6; DENND1A; CCZ1; PIWIL1; MCM8; HELB; RPAIN; FSHB; PPARG; EGLN1; FTO; SCCPDH; FBXL17; RNF44; ARL14EP; GJA1; ACMSD; SYCP2L; SPPL3; HELQ; TIPARP; ZNF704; EXO1; MAF; ZFPM1; NLRP11; HAPSTR1; WT1; C5orf47; FANCA; FANCM; TMEM120B; ZNF729; PNP; PRKDC; CALCR; ST7L; ADSS2; GEMIN5; TFAP2C; ORC6; SRPK1; SLCO4A1; TASOR2; DCUN1D4; YIPF4; CHD6; DDX31; STX6; PEX5; FANCI; ETAA1; ACSL1; BCL2L11; APCDD1; ODF1; BABAM2; BRSK1; ZFYVE1; CHD7; ZFP42; TMEM150B; SPRY4; PRIM1; TLK1; OPA1; NUP62; AS3MT; GTF2A1L; POLG2; ZNF728; GAB2; TP63; PPP2R3A; ARID3A; RBM26; MSI2; INHBB; MFSD4B; SH3PXD2B; LIN28B; IPO7; BOD1L1; TNPO3; STON1-GTF2A1L; ZXDC; NMRK2; TENT4A; BIRC6; DNA2; GNRH1; KLF10; ABRAXAS1; ZNF143; TNRC18; KLHL25; ZNF98
age at onset,RTEL1-TNFRSF6B; ATP2C2; RORA; VIPR2; KAZALD1; NFKB1; CCL20; GPD2; IL1RL1; IL18R1; TNFSF11; CLU; COL10A1; PDE11A; TRAF3; PDHA1; SLC14A2; BCO1; IQGAP1; TNFRSF11A; PTPRG; LPP; TSLP; EGFR; GSDMC; RGR; THRB; GRIA4; TDRD9; TMEM161B; TERT; SMAD3; GRIK1; OVOL1; CD34; C14orf39; CIITA; PLD5; NRIP1; D2HGDH; NOG; RNLS; PRKN; KCNQ5; IKZF1; TMEM232; ALKAL2; GK2; CFAP299; TOX; ZC3H11B; FAM240C; CDRT15; PRSS56; ZNF280B; CHDH; ZIC2; RASGRF1; EYA2; TRAM1; FOSL2; IL4R; RBFOX1; FLT1; ST8SIA1; UTP20; TRIM25; BMP2; PZP; HIVEP3; DPP6; GGACT; ETS1; RDH5; RCBTB1; IL33; LRRC32; APH1B; SCAF11; TPM1; PCSK6; COL6A1; ST18; CDKN2B; TCF7L2; PTPRR; KCTD15; ANTXR2; JCAD; FBN1; STAT6; INSR; PDE3A; TLR10; PCCA; DSCAML1; ZBTB38; ADAMTSL1; KCNA4; GAS6; KIRREL1; ARID2; PRTN3; MVB12B; HRNR; RD3L; MPPED2; FNDC3B; CYLD; POLI; ID2; SLC25A12; TNFSF4; TJP2; BICC1; BMP4; TMEM175; APOE; SEC61G; CDH13; SNCA; CCZ1B; KLHL1; GLT1D1; BMP3; SLC16A1; KCNMA1; SPPL3; GJD2; SFXN1; ZMAT4; LRFN5; SERPINB7; GSDMA; DYNLRB2; ZEB2; FRMPD2; NPAS2; TLR1; ABO; MYO1D; ZNF366; NDN; NTM; PRELID2; SHISA6; LAMA2; GRM3; L3MBTL3; RORB; CRPPA; TFAP2D; SI; TGFBR1; GMDS; AMOTL2; EFEMP1; FASLG; RALY; MYCN; SIX3; RASGEF1B; NCOA2; LRRC4C; TIAM1; NFIA; ZNF280A; VPREB1; ZNF519; RAD51B; GPC6; DRD1; ARL15; CD55; ANKRD28; HLA-B; GRIN2B
age at voice drop,TRPC7; JHY; PRDM13; NR5A2; TACR3; SOX2; LIN28B; MRTFB; MKLN1; BDNF; SPDYE12; ALX4; MC3R; ZNF483
age-related hearing impairment,CNTLN; TYR; MMP2; FXYD5; TTC28; MED13L; KLHDC7B; AKAP12; LMO7; SIK1; ILDR1; TUB; CCDC68; TMPRSS9; ADARB2; SYNJ2; NID2; CDH23; SASH1; MDGA1; EYA4; CCNG1; DOCK2; DYNC1I1; LMX1A; CTBP2; SH2D4B; PARVA; TMEM213; ARHGEF28; TRIL; WDR3; TRIOBP; NFKBIA; GRB10; FOXN1; SPTBN1; AGO2; TINAG; ADAMTSL3; CABP1; SLC15A2; LOXHD1; FSCN2; CLRN2; SNAP91; DHRS7; ADNP2; GLI3; SPACA1; ENOX1; PIWIL1; DGLUCY; FTO; MAGI1; CHMP4C; DIRAS2; PBX3; ABLIM3; PARD6G; GNAT3
age-related macular degeneration,CFH; CETP; TNFRSF10A; CFHR3; COL10A1; C3; APOE; TRPM1; COL8A1; B3GLCT; CFB; CFHR1; ARMS2; REST; VEGFA; ALDH1A2; NAV1; ABHD2; KCNT2; ADAMTS9; LIPC; CTRB2; AFF1; NOTCH4; MCUB; SLC16A8; TGFBR1; SRPK2; FUT6; ABCA1; HTRA1; RAD51B; CNN2; ARHGAP21; FRK; CD46; CFHR4; CFHR5; RDH5; RLBP1; COL4A3
albumin:globulin ratio measurement,STEAP1B; CCR6; IL1R1; MPRIP; EGF; FCHO2; HLA-DPB1; TNFRSF13B; RUNX3; NFKB1; ELL2; CXCR4; ETS1; REPS1; RASGRP3; TNFSF13; IKZF1; MPHOSPH9; ST6GAL1; TRAF3; BLK; BMP2K; IGSF11; TXLNB; TBC1D16; HLA-B; C9; AFF3; ACOXL; IL6R; BCL2
albuminuria,LTK; AHR; CUBN; WIPF3; SHROOM3; RSU1; LRMDA; CWC27; TSHR; FRS2; CHD7; NRXN1; CSMD1; ARL15; ZFP36L1; COL4A4; GATM; BAHCC1; CPS1; FRG1; AK5; COL4A3; FUT1; ADO; FOXD2; TRIQK; HOXA13; CPO; NR3C2; PRKCI; TRIB1; TCF4
