disease_name,gene_name
Antimigraine preparation use measurement,UFL1; RUNX1T1; FGF6; PHACTR1; FHL5; TRPM8; GJA1; SUGCT; PID1; MEF2D; PRDM16
Antithrombotic agent use measurement,FLT1; APOE; CELSR2; ABCG8; CDKN2B; EDNRA; LPA; RDX; ZFHX3; CDKN2A; LPL; FES; CRHR1; FGF5; PITX2; RGS19; HECTD4; ABO; APOA5; PHACTR1; FDX1; FTO; IRF2; TRIB1; COL4A1
Arthropathy,UQCC1; CRADD; OPCML; CPNE4; NEBL; TGFB2; SLC39A8; LTBP1; FLAD1; KIF26B
B-cell acute lymphoblastic leukemia,GATA3; LHPP; ARID5B; PIP4K2A; ERG; IKZF1; CEBPE; ELK3; SLC24A4; CDKN2A
BMI-adjusted fasting blood glucose measurement,GCK; SLX4IP; G6PC2; SLC30A8; C2CD4A; GCKR; YKT6; CRY2; MTNR1B; RREB1; FOXA2; SPC25; SLC2A2; ADCY5; GRB10; DGKB; TCF7L2; PCSK1; ARAP1
BMI-adjusted hip circumference,PLXND1; SCMH1; MAP4K5; MTMR11; IGF1; LTBP1; TAF2; EYA2; CALCRL; TRMT11; PITX1; ATP1B3; TRIB2; GLI2; SEMA3C; FNDC3B; RARB; IMPG2; COBLL1; TUT7; HACE1; SNX10; EPB41L1; SMOX; TBX5; ESR1; TGFB2; PCSK5; HMGXB4; RIN3; RPS6KA5; CHD8; UQCC1; CDK6; POLR1F; GLCCI1; EZH2; GLI3; MEGF9; GMDS; SENP6; LY86; CPEB4; UMPS; FOXP1; EFEMP1; PRRX1; MROH9; DNMT3A; WASHC3; SSPN; CCDC91; KCNJ2; RREB1; GPCPD1; GDF5; FOXP2; INS-IGF2; CDC16; SLC35D2; CHSY1; PEMT; IGF2BP3; NKX2-1; LHCGR; CDK15; PRKG2; DTL; INTS7; EML4; RSPO3; SLC22A3; GNA12; MFHAS1; SLC25A37; GSDMC; ZNF462; SCGB1A1; CCDC3; MCHR2; CATSPER3; BMP6; RBMS1; CMIP; PID1; PDIA4; SPAG17; TMBIM4; ADAMTS3; KCNJ15; ACAN; ATP13A2; FGFR4; ZSWIM2; FBLN2; ADAMTS9; HHIP; OTUD4; USP49; ABCA1; ZNF367; IKBIP; FRS2; SPATA33; TET2; CRADD; ANTXR1; INSR; SPSB1; TCEA2; SHLD1; TEFM; ID4; MAB21L4; PDE3A; DMRT2; CSPG4; SUSD5; IL20RB; MSRA; ATAD5; ZSCAN2; ZBTB38; BEND3; C14orf39; ZNF678; PLAG1; ADO; CREB3L2; CDCA2; SLC24A3; PTCH1; DLEU7; AKR1C1; COL4A1; LIN28B; OPTC; LPAR1; TSEN15; CCDC152; MAFB; VGLL3; POU5F1B; SKOR2; BAHCC1; KLF14; SMIM38; SPATA20; PRDM11; VRK2; CLEC16A; JADE2; COL9A2; MPHOSPH9; PARP12; COL11A1; ZFAT; NAV3; CYBRD1; IGF2BP2; ZNF638; EPB41L2; NID2; SRP54; BMF; ITGB8; GRB10; PLEKHA1; CAND1; E2F3; EYA4; ADGRG6; QKI; VEGFA; EFCC1; UXS1; WARS2; FILIP1; SLC16A7; LYZL1; EGR2; HOXC12; KLHL31; BMP2; GLIS2; BMAL1; CABLES1; PUM1; PIGC; CYP19A1; TET1; B4GALNT3; NCOA2; IGF1R; PML; ADAMTS17; DYM; BARHL2; ETAA1; DIS3L2; TNFAIP8; CREB5; TCF7L2; HMGA2; ARID5B; NMT2; JAZF1; ADAMTSL3; PALM2AKAP2; LRP5; WNT4; NPPC; DCST2; RYBP; TASOR; PEX2; C8orf34; KIF27; QSOX2; DENND2B; ABHD15; TACR3; KLF13; VGLL2; GYPA; HSPB2; OR2K2; EIF2AK3; SP3; MYEOV; BOK; RFLNA; GPC5; KCNJ12; MRTFB; RXRA; ARID2; L3MBTL3; SLC44A4; HLA-C; SMLR1; FKBP4; MRC2; HERPUD1; GATB; MPPED2; FGFR2; MECOM; TBX15; RAB18; NFKBIA; ABCC1; CORO7-PAM16; DOT1L; RIC8B; DSE; PPARD; SMOC2; BCL6; FHL2; SDC1; PAPPA2; CCDC92; KLHL29; SOCS2; APAF1; CRISPLD1; PLCG1; KDM4B; EMILIN2; AP3B1; RRAS2; LRP4; DAB2IP; LMX1B; ATAD1; TLE3; ITGA9; FERD3L; SERPINH1; EML3; MKX; FER; FLI1; PTPN14; SETBP1; SPC25; MOV10; SH2B2; CITED2; FBN1; AKTIP; XKR6; CXXC5; BCL2; JMJD1C; CTBP2; MLXIP; CALCB; JUN; SUZ12; GAS1; SSTR2; PCGF5; ERCC6L2; TSHZ2; CMSS1; FOXD2; SPRY4; LITAF; DNM3; CD2AP; COL11A2; CRPPA; ZC3H11B; PPP3R1; CROCC2; HSPB2-C11orf52; SMIM36; CORO7; JARID2; MBTD1; CLXN; MYO3B; SCARB1; BCKDHB; REST; KIZ; MAP3K1; PPIF; KLF3; PDE10A; NPR3; FGF1; NR3C1; NCL; POMC; AKAP7; ECRG4; LTBP2; TBX4; FKBP9; METTL8; PEPD; ADCY4; APOC1; TBC1D14; SPOCD1; TMED7; MSI1; PRR5L; ITGA11; SLC3A1; PSTPIP1; TSPAN3; ADAMTS10; CCT6A; AUH; LATS2; CRIM1; SETD9; KCNE2; IGF2BP1; SIM2; PTH1R; PLCD3; LMX1A; ATP1A1; E2F7; SMAD3; SPRYD3; CSGALNACT2; RNF150; CYTL1; FEZ2; BNC2; SLC38A9; LCORL; APOLD1; RNF135; RAD51B; SIX6; BAZ1A; CENPW; HLA-DRA; C17orf67; EBF2; BCKDHA; C4orf54
BMI-adjusted waist circumference,ST7L; PKD1; RUNX3; VCAN; ADAM28; GOPC; ADAMTS6; VMP1; SLC12A2; ZFAT; RORA; PPP2R3A; FNDC3B; STX7; BCKDHB; SNX10; MRPS33; CPA1; TBX15; COL9A3; TGFB2; MAP3K1; RAB18; TRIP11; NFATC4; NFATC2; FLT1; IQCH; EYA1; POLR1F; NPVF; GRB10; GLCCI1; CCNJ; PKD2L1; ZMIZ1; ADGRG6; SMOC2; VEGFA; TENT5A; NPR3; TARS1; FGF1; NR3C1; CPEB4; BCL6; INO80D; SLC35F5; EFEMP1; FANCL; PLCL1; MFAP2; ELOVL4; CCDC92; DNMT3A; CRISPLD1; TBX2; SSPN; CCDC91; H2BC11; ATXN1; BMP4; OPRL1; STK35; BMP2; HNRNPR; TMEM175; GAL3ST1; LOXL1; KIF1A; TULP4; TESMIN; PIK3C2B; DGLUCY; FST; CABLES1; COL4A2; PRR5L; HLX; PPP2R1B; CYP19A1; CYP2C9; PLCE1; TET1; PRKG2; ESR2; TSPAN3; IGF1R; ZFHX3; ZCCHC2; ADAMTS10; MYO1F; DIS3L2; PTPRG; COL8A1; OSMR; PIK3R1; RSPO3; GNA12; IGFBP3; GSDMC; SERPINH1; FER; CCDC3; MCHR2; BMP6; RBMS1; JAZF1; ADAMTS5; PDIA4; SPAG17; MMP16; ADAMTSL3; ACAN; H2BC5; KCNE2; FGFR4; COQ8A; CDC42EP3; FBLN2; RYBP; ADAMTS9; ANXA5; HHIP; CITED2; UNCX; QSOX2; WDR81; TET2; ANTXR1; ACTRT2; ROBO1; VGLL2; HSPA4; XKR6; FEZ2; INSR; SOCS5; COL24A1; SPSB1; RGS19; TEFM; ID4; SH3RF3; ADCY5; MLXIP; ATAD5; ZSCAN2; SLC38A9; ZBTB38; GRB2; ZNF354C; ZNF366; LCORL; RFLNA; C14orf39; ZNF664; GPC5; F2R; CFAP65; ZNF678; PLAG1; CREB3L2; FIGN; HCAR2; COL18A1; PCBP3; NOG; ADAP2; CMSS1; ZFP1; ARL15; NTF3; PTCH1; SMIM29; AKR1C1; LIN28B; COL14A1; HOXC4; TSEN15; POU3F3; C16orf96; EML6; ZC3H11B; LRRC37A2; SLC5A8; LBHD2; PLXND1; HOXA11; MTMR11; MIPEP; VRK2; CNTLN; LTBP1; NFE2L3; EYA2; FGFR3; IGF2BP2; GLI2; WSCD2; TNS1; COBLL1; MECOM; NID2; GNA11; SMOX; TNRC6A; LAMB1; ESR1; FKBP5; PCSK5; RBFOX2; ITGB8; CPED1; BMPR1A; JHY; HDGFL1; SENP6; STC2; FN1; NFE2L2; MEF2D; MROH9; FILIP1; PPL; EPC1; GLT8D2; ZMIZ2; EGR2; KCNJ2; SOX9; ZNF436; TRAP1; MAP2K2; HIVEP3; SLC35D2; EMILIN2; IPO8; MEIS2; TMED7; CCNJL; SPRY2; IGF2BP3; MYC; PPM1B; LHCGR; SLC39A8; DISP2; USP3; ADAMTS17; VPS53; DYM; COL6A1; RXRG; GASK1A; BOC; TCF7L2; HMGA2; RILPL2; SRFBP1; TEX9; FLI1; PLA2R1; ZDHHC7; CMIP; KCNJ16; ADAMTS3; TAOK1; DCST2; DNASE1L3; ZNF148; PEX2; TNFRSF11B; ABCA1; CEP295; FRS2; ENDOG; RBPJ; TTC39C; CRADD; HTRA4; EMX2; CYTL1; BPTF; BCL2; PWWP2B; MYEOV; PPP1R3B; TRIB1; RSRC1; CTDSP2; SUGCT; ZNF169; TMEM270; NCKAP5; NKX2-6; PCGF5; MACIR; TSHZ2; PGPEP1L; CDCA2; KIAA0825; PBX1; ADARB2; DLEU7; FFAR4; MRTFB; SPRY4; ZNF799; KCNRG; GRK5; MAFB; COL15A1; SLC44A4; MICA; HLA-A; SKOR2; XKR9; ZBED5; STAU2; COL9A2; DKK3; KCNQ1; LY75; CALCRL; ANKS1A; NUCB2; SLC44A1; P4HA2; NCOA1; PRTFDC1; UQCC1; ZNF423; CDK6; SH3PXD2A; MAP2K6; SEPSECS; GMDS; TBX18; LOX; HMGXB3; ACTR3; SOCS2; RREB1; GPCPD1; NFATC1; SERPINE2; STAB2; GATA4; PNPT1; ADAMTS14; HNRNPD; PDE5A; B4GALNT3; SLC38A4; LPP; ZNF462; PTPRJ; NPAS3; SLC28A1; MRAS; CDC25A; NDUFS4; EBF1; DLC1; FBN1; SCG5; SMAD3; FILIP1L; TM2D2; CLIC4; USP47; AKAP13; TLN2; KLF11; SP3; IL20RB; MSRA; CNTD1; SHMT1; WDR97; SLC8A1; C12orf56; GNG2; MAPT; KCNJ11; NCR3LG1; ARID2; FAM53B; SLC22A5; HOXC6; TMEM184B; L3MBTL3; NTMT2; SLCO6A1; POU5F1B; PHTF2; MLXIPL; TSPAN9; SAMD4A; TNC; ANAPC4; PPP2R5A; FDFT1; CNOT4; SMARCD3; GNAS; MAPKAPK5; TBX5; MAP3K20; ACOT7; LMF1; MEOX2; TFEB; LAMA4; LY86; BBX; STAG1; TNP1; KLF12; ECRG4; ACVR1C; PCK1; HIP1R; GSE1; ANO1; WNT2B; MTNR1B; SRPK2; PIGC; NKX2-1; HMGA1; SMAD6; MNS1; SLCO1C1; ARMH4; TLE3; TNFRSF11A; ETAA1; MEIS1; TNFAIP8; ADAMTS19; SLC22A3; PROSER2; LRMDA; NCAM1; ANKRD9; KCNJ15; PALM2AKAP2; VANGL2; TASOR; GRIK2; DCBLD1; MICALL2; KIF27; GALR1; MCC; SHLD1; KY; PTPN11; MROH1; RFX7; RGMA; WWOX; NCOR2; ZNF536; PAX9; BCKDHA; LY75-CD302
BMI-adjusted waist-hip ratio,PLXND1; PHTF2; CD79B; MLXIPL; PRDM11; VRK2; BMAL2; CNTLN; YTHDC2; NFE2L3; TBC1D22A; COL11A1; SLC12A2; EYA2; CALCRL; PPP2R5A; TRMT11; NAV3; NUCB2; SLC44A1; NDST1; TRIB2; MYO3B; CYBRD1; SCARB1; IGF2BP2; WSCD2; TNS1; RAPGEF3; STX7; C1QTNF3; COBLL1; BCKDHB; EFR3B; MECOM; SNX10; NID2; LAMB1; MAP3K20; MYO15A; TBX15; MAP3K1; NRP1; UQCC1; FGF9; ZNF423; CORO7-PAM16; EYA1; DOT1L; ZNF14; ITGB8; HOXA13; CPED1; GRB10; CPEB3; ZMIZ1; RAI1; MAP2K6; CCND1; SYT10; PHC1; VEGFA; LY86; TBX18; PDE8B; NPR3; FGF1; STC2; CPEB4; BBX; ARHGEF26; INO80D; SLC35F5; ACTR3; EFEMP1; FANCL; GLS; THADA; NR5A2; SLC16A7; CCDC92; DNMT3A; DUSP1; GORAB; EPC1; TBX2; HOXA7; SSPN; HOXC12; ACVR1C; KCNJ2; PCK1; RREB1; OPRL1; GPCPD1; BMP2; APOE; ZSWIM6; IQCN; HIP1R; ANO1; BARX1; AP3B1; ZBED3; PEMT; DSTYK; IPO8; BMAL1; AMPD3; DGLUCY; MEIS2; ROCK2; ANO3; CABLES1; COL4A2; ADAMTS8; PRR5L; PIGC; BLK; PPP2R1B; ITGA11; SMAD6; CYP19A1; LHCGR; SENP7; HERC3; PDE5A; SLC39A8; ARMH4; DISP2; IGF1R; ADAMTS17; FOXK2; DYM; ADAMTS10; ETAA1; MEIS1; ITGA9; COL8A1; DGKQ; nan; GIN1; TNFAIP8; CDKAL1; CRIP3; RSPO3; LACTB2; CDKN2B; AUH; LRMDA; TCF7L2; SCGB1A1; NCAM1; EML3; MKX; TEX9; SETBP1; BCL2L11; JAZF1; CMIP; SEMA3D; PITPNC1; SPAG17; ELMO1; MMP16; ADAMTSL3; SLC28A1; KCNJ15; PALM2AKAP2; KCNE2; LRRC36; GPSM1; FGFR4; WNT4; CDC42EP3; DCST2; ADAMTS9; DNASE1L3; ANXA5; CITED2; ABCA1; C8orf34; ENDOG; VASN; RBPJ; TET2; ACTRT2; KLF13; EMX2; KBTBD2; XKR6; SPSB1; TCEA2; PWWP2B; SHLD1; MYEOV; ADCY5; ABLIM3; PPP1R3B; SLCO4C1; LPL; MLXIP; SHMT1; SLC38A9; APOLD1; RFLNA; C14orf39; ZNF664; CIITA; NKX2-6; HOXC9; C1orf105; F2R; RFX7; RAD51B; COL18A1; PGPEP1L; ZBTB40; C5orf47; SPPL2C; PBX1; CYP2R1; FFAR4; SMIM29; AKR1C1; RSBN1L; COL4A1; NCR3LG1; OPTC; LITAF; ARID2; TCF4; ILRUN; HTT; PRIM1; LPAR1; HOXC4; ARHGEF15; TOP1; L3MBTL3; MAFB; TCEA3; HLA-DRA; COL15A1; SLCO6A1; POU5F1B; ZC3H11B; KLLN; ZBED5; CEBPA; MPV17L2; CORO7; KLF14; CFH; FKBP4; CALCR; HOXA11; NFIX; PKD1; TSPAN9; ABHD5; ADAMTS6; LY75; MON2; ZFAT; NEO1; RORA; KDM5A; GLI2; SEMA3C; FNDC3B; POLD3; CARMIL1; NCOA1; ZNF268; PITPNM2; PCSK5; TBC1D10A; HMGXB4; FLT1; IQCH; WNT2; ALDH2; EYA4; LAMA4; TENT5A; BCL6; ABTB1; FOXP1; FN1; LEPR; WARS2; ATAD2B; KANSL1; TRIM24; BICC1; SPRYD7; PLCG1; PEPD; TMEM175; DLL4; APOC1; COL5A1; GSE1; HAUS8; RAMP2; MATN3; EMILIN2; MACROD1; SBF2; RRAS2; TTLL4; SERPINE2; SCEL; DAB2IP; PLCE1; HECW2; MNS1; FGF2; ARRDC4; PML; RNF157; COL6A2; DUSP10; PTPRG; SLC22A3; IGFBP3; PLCB3; ARID5B; ADAM17; MCHR2; HHEX; ASZ1; NUP205; MMP14; MRAS; FTCD; EN1; HHIP; DAGLB; ARHGAP12; CFL2; RAPSN; PLIN4; TBX10; FILIP1L; CRADD; ROBO1; HSPA4; CAVIN4; CYTL1; C11orf24; INSR; BCL2; JMJD1C; PDE3A; TMCC1; EFCAB12; ARPP21; TRIB1; SH3PXD2B; SMAD2; ALG10B; PNPLA2; ZNF678; RTKN2; TSHZ2; LYSMD4; GPC6; NOG; ARL15; OLFML2A; ZFP36L1; ARL17A; DLEU7; MAPT; MITF; COL14A1; WDR5; TRIM33; ZNF652; BTNL2; SLC44A4; HLA-C; C2CD4B; SIPA1; RPL17-C18orf32; EBF2; XKR9; TWIST2; AMACR; SLC5A8; CUX1; SMIM36; E2F2; ARID4A; TIMP2; AIFM2; EPHA3; FOXC1; CPA1; ESR1; RGS17; C22orf31; PCNX1; RPS6KA5; ARHGAP21; CUX2; E2F3; QKI; PRSS16; PODXL2; PAPPA2; MEF2D; SOX9; LOXL1; UBE2G1; PIK3C2B; DTX1; TMEM60; SRPK2; HLX; HMGA1; SMIM2; TLE3; MAPK4; PDGFC; OSMR; PPIP5K2; CDKN2A; DLAT; RBMS1; VANGL2; LMX1A; C1QTNF7; ADORA1; KCNK5; WDR81; MN1; PTEN; DPP7; GRB2; NRIP1; HCAR2; CMSS1; CDCA2; WT1; MTARC1; HMGB1; TSC22D2; FBXL22; ATG7; DNAH10; ZNF521; IFI30; LRRC37A2; CFHR1; CCDC71L; MRC2; PITX1; ERC1; PTHLH; EPB41L4B; FKBP5; RAB18; DNAJA3; RBL2; NMU; CAPRIN2; ADGRD1; HDGFL1; PTK7; MFAP2; ZNF436; GDF5; PPARG; MPRIP; CLOCK; AFF3; CAND2; IL17RD; LPP; PAM; VEGFC; RILPL2; LONRF1; FBXL18; SFXN2; EBF1; GALR1; PDCD6IP; IRX1; FOXA3; RGS19; RSRC1; PTPN11; PITPNB; FIGN; CMKLR2; BICD2; KCNJ11; FAM3C; HOXC6; NTMT2; CENPW; TRIM13; PPP3R1; AQP1; LY75-CD302
Back pain,SOX5; GSDMC; C8orf34; HTRA1; BASP1; ZBTB20; CREB3L2; DCC; CHST3; ITGA11
Barrett's esophagus,DPYSL2; CRTC1; FOXP1; ALDH1A2; TMOD1; LMX1B; GDF7; MGST1; TBX5; FOXF1; CEP72; BARX1; EFEMP1; MSRA; PRSS51; KHDRBS2; PNPT1; ETAA1
