diseases,genes
Parasitic infectious disease,HIST2H2AA3;IL2RA;TNFRSF18;IRF7;CD36;CXCL8;CXCL13;IL10RA;HBG2;ISPD;CBSL;GYPB;IL33;CCL5;TRAF6;CD5;CTSB;RPL7A;CXCL11;HBB;GLRX;ELANE;HPRT1;ACHE;RNASE2;EGF;VWF;MYC;CYP2C8;TLR2;ICAM1;SIRT1;PTGS2;AKR1C2;TPT1;CXCR3;MT-ND4;IL18;FDPS;CYP51A1;B2M;MT-ND1;CD40LG;GOT2;ATP12A;RHD;CYBB;UPRT;CES2;TSLP;HLA-DQA1;HIST2H2BE;B7RP1;CTRL;SYK;NFKBIA;CD1C;SARS;KLRG1;TIRAP;CD40;TLR7;IL7R;FCGR2B;STH;CD68;CCL4;SCARB2;IL12RB1;FGD3;HSPA4;FCN2;TMPRSS2;CD19;SPI1;AKT1;SENP7;CR2;FAS;IFNGR1;CXCL2;TLR10;TLR3;TNFSF13B;ACE;GABARAPL1;CHRM2;GYPE;IL13;ACTB;IFNAR1;SURF1;CA1;EPB41;TLR5;FCGR1A;MBL2;HIST2H3PS2;CR1;IL1RL1;BSG;FCGR2A;UBP1;MPO;PF4;ALB;CCL24;ENSP00000381231;CD69;ARG2;NOS2;SOCS3;HLA-DRB1;MT-CO2;CXCL12;HBG1;LGALS3;IL7;MAPK3;CCL3;SERPINC1;FCGR3B;CD1D;CCRL2;IL15;IFNB1;CD44;SOCS1;KCNH2;EGFR;HSP90AA1;TCN2;MMP9;ABCB1;CYCS;IDO1;NOD2;CSF1;CD81;ODC1;CRP;PDCD1;ENSP00000417517;AREG;ATP2B4;C3;MT-CO3;KIT;HAVCR2;IL17F;LY75;FN1;TBL1X;NELFCD;HPX;MT-CYB;ITGAL;PDCD1LG2;ICOSL;GNLY;PROCR;CTLA4;INS;CD274;GATA1;DNAJB1;RETNLB;LY96;TFRC;CYP2D6;VEGFA;ACE2;CCL2;ENTPD1;CCR3;MT-ATP6;CYP2B6;CXCR5;TNFRSF4;RAG1;TP53;PLG;SELE;IL1A;CD38;IFNA1;ACKR1;IL22;F3;HAMP;HIST2H2AA;IL3;MT-CO1;DHODH;STAT5B;CALR;IL6;IL17A;IL17RB;CD8A;ARG1;STAT1;CD34;SELP;MB;CYP2C19;TNF;ITGAX;FREM3;AOC3;EPO;ITGAM;BCL2;HLA-DRB5;LAG3;FASLG;HIST2H2AC;GOLPH3;CASP1;LEO1;CREM;STAT3;HP;CYP1A2;IL4R;CXCR2;IRF8;CXCL9;GSR;CXCL10;MTOR;ANGPT2;CCR5;XPO1;HLA-B;CASP3;FURIN;CX3CR1;SRC;TNFRSF1A;NCR1;TIMP1;RAB11FIP5;CXCR4;ENSP00000417050;ANXA8;CD209;PPARG;18S_rRNA;GAPDH;DHFR;PPIG;FOS;CCL11;KNG1;CCR1;SELL;ITGA4;TPI1;SCARB1;CXCL1;CD4;CCL4L1;TXNRD3;IL2;SLC11A1;CD86;SIRT2;SARS2;CTSD;LAMP1;GATA3;DDX58;EPX;CD163;REN;CASP8;28S_rRNA;CAMP;TLR1;HBE1;OCLN;MAF;ADCY10;GPT;CLEC7A;IL9;TBX21;CRYGC;IL1B;CCL17;CD55;HIF1A;CD27;HPGDS;LTA;MT-ND5;C4B;SDC1;NLRP3;F2;PGLYRP1;HBD;IRF3;STAT5A;STAT6;ATP4A;RAG2;KDR;IL5;ID2;CTSL;GZMB;THBS2;IL27RA;CMKBR6;CD28;DHPS;CSF2;HLA-C;CCR2;AMD1;HLA-A;HMOX1;GABARAPL2;FYB;CD99;GYPA;HPR;TLR9;RPS7;G6PD;C4A;NSL1;JUN;GYPC;RNASE3;CD2;CCL7;GZMA;PRF1;FCRL4;ANXA5;EOMES;NCAM1;IL1R1;GPR29;TRIM5;MASP1;CMC2;IFNG;TLR6;MIF;IFIH1;CD83;MRC1;FAM53B;IL4;FCRL5;LAX1;KLHL2;IRF4;IRF1;SIGLEC1;IL10;PTPRC;PRDM1;ENSP00000387760;ITIH4;CXCR6;THBD;CD276;ERVW-1;TLR8;TXN;LCT;CD1B;CCR7;HLA-DQA2;CSF3;TNFSF4;CYGB;ITGAE;LMLN;BCL6;PECAM1;APOL1;HSPD1;VCAM1;CES1;CD80;GGPS1;FCGR3A;MYD88;CYP3A4;CCL20;RHCE;TLR4;FOXP3
Parasitic protozoa infectious disease,HIST2H2AA3;IRF7;CD36;CXCL8;IL10RA;HBG2;ISPD;DNAAF2;CBSL;GYPB;IL33;CCL5;CTSB;RPL7A;HBB;ELANE;HPRT1;ACHE;EMP1;EGF;VWF;MYC;CYP2C8;TLR2;ICAM1;SIRT1;PTGS2;AKR1C2;TPT1;CXCR3;IL18;FDPS;CYP51A1;B2M;CD40LG;RHD;UPRT;HLA-DQA1;HIST2H2BE;CTRL;SYK;NFKBIA;CD1C;SARS;KLRG1;TIRAP;CD40;TLR7;IL7R;FCGR2B;STH;CD68;CCL4;SCARB2;IL12RB1;FGD3;HSPA4;FCN2;TMPRSS2;CD19;AKT1;SENP7;CR2;FAS;IFNGR1;CXCL2;TLR10;TLR3;TNFSF13B;ACE;GABARAPL1;GYPE;IL13;ACTB;IFNAR1;SURF1;CA1;EPB41;TLR5;FCGR1A;MBL2;CR1;BSG;FCGR2A;UBP1;NMT1;MPO;PF4;ALB;ENSP00000381231;CD69;ARG2;NOS2;HLA-DRB1;MT-CO2;HBG1;IL7;MAPK3;CCL3;SERPINC1;FCGR3B;CD1D;IL15;IFNB1;CD44;KCNH2;HSP90AA1;TCN2;MMP9;ABCB1;CYCS;NOD2;CSF1;CD81;ODC1;CRP;ENSP00000417517;ATP2B4;C3;MT-CO3;HAVCR2;LY75;FN1;TBL1X;NELFCD;HPX;MT-CYB;ITGAL;GNLY;PROCR;CTLA4;INS;CD274;DNAJB1;TFRC;CYP2D6;VEGFA;ACE2;CCL2;CYP2B6;CXCR5;RAG1;TP53;SELE;IL1A;CD38;IFNA1;ACKR1;F3;HAMP;HIST2H2AA;IL3;MT-CO1;DHODH;CALR;IL6;IL17A;CD8A;ARG1;STAT1;SELP;MB;CYP2C19;TNF;ITGAX;FREM3;AOC3;EPO;ITGAM;BCL2;HLA-DRB5;LAG3;FASLG;HIST2H2AC;GOLPH3;CASP1;LEO1;CREM;STAT3;HP;CYP1A2;CXCL9;CXCL10;MTOR;ANGPT2;CCR5;XPO1;HLA-B;CASP3;FURIN;SRC;TNFRSF1A;RAB11FIP5;CXCR4;CD209;PPARG;18S_rRNA;GAPDH;DHFR;PPIG;CCL11;KNG1;SELL;ITGA4;TPI1;SCARB1;CXCL1;CD4;CCL4L1;IL2;SLC11A1;CD86;SIRT2;SARS2;CTSD;LAMP1;DDX58;CD163;REN;CASP8;TLR1;HBE1;OCLN;MAF;ADCY10;GPT;CLEC7A;IL9;TBX21;IL1B;CD55;CD27;HPGDS;LTA;C4B;NLRP3;F2;PGLYRP1;HBD;IRF3;STAT6;RAG2;KDR;IL5;CTSL;GZMB;IL27RA;CD28;DHPS;CSF2;HLA-C;CCR2;AMD1;HLA-A;HMOX1;GABARAPL2;FYB;CD99;GYPA;HPR;TLR9;RPS7;G6PD;C4A;NSL1;JUN;GYPC;CD2;NLRP1;PRF1;FCRL4;ANXA5;NCAM1;IL1R1;TRIM5;MASP1;CMC2;IFNG;TLR6;MIF;IFIH1;MRC1;IL4;FCRL5;LAX1;KLHL2;IRF1;SIGLEC1;IL10;PTPRC;PRDM1;ENSP00000387760;ITIH4;THBD;CD276;ERVW-1;TLR8;TXN;LCT;PYDC1;CCR7;HLA-DQA2;CSF3;CYGB;ITGAE;LMLN;BCL6;PECAM1;APOL1;HSPD1;VCAM1;CD80;GGPS1;FCGR3A;MYD88;CYP3A4;CCL20;RHCE;TLR4;FOXP3
